"ID","TradeID","DraftpickID"
1,1,637
2,2,637
3,3,438
4,3,521
5,4,438
6,4,521
7,5,438
8,5,521
9,6,521
10,6,525
11,7,517
12,8,464
13,9,517
14,10,517
15,11,438
16,11,521
17,12,501
18,12,566
19,13,501
20,13,566
21,14,501
22,14,566
23,17,723
24,19,764
25,20,692
26,21,797
27,21,772
28,22,692
29,23,797
30,23,772
31,24,692
32,25,797
33,25,772
34,26,692
35,27,692
36,28,772
37,28,797
38,29,692
39,30,772
40,30,797
41,31,772
42,31,797
43,32,772
44,32,797
45,33,772
46,33,797
1023,1017,764
1024,1018,764
1025,1019,764
2023,2017,901
2024,2017,973
2025,2018,901
2026,2018,973
2027,2019,901
2028,2019,973
2029,2020,901
2030,2020,973
2031,2021,901
2032,2021,973
2033,2022,951
2034,2022,943
2035,2023,951
2036,2023,943
2037,2024,951
2038,2024,943
2039,2025,901
2040,2025,973
2041,2026,901
2042,2026,973
2043,2027,901
2044,2027,973
2045,2029,932
