"ID","FirstName","LastName","Position","TeamID","Active"
0,"Eddie","Lacy","RB",20,true
738,"Marion","Barber","RB",33,false
739,"Earl","Bennett","WR",33,true
740,"Jay","Cutler","QB",1,true
741,"Matt","Forte","RB",1,true
742,"Devin","Hester","WR",14,true
743,"Johnny","Knox","WR",33,false
744,"Greg","Olsen","TE",21,true
745,"Chester","Taylor","RB",1,true
746,"Roy","Williams","WR",33,false
747,"Robbie","Gould","K",1,true
748,"Chicago","Bears","DEF",1,true
749,"Cincinatti","Bengals","DEF",2,true
750,"Mike","Nugent","K",2,true
751,"Bernard","Scott","RB",2,true
752,"Jordan","Shipley","WR",16,true
753,"Jerome","Simpson","WR",19,true
754,"Carson","Palmer","QB",7,true
755,"Jermaine","Gresham","TE",7,true
756,"A.J.","Green","WR",2,true
757,"Andy","Dalton","QB",2,true
758,"Andre","Caldwell","WR",4,true
759,"Cedric","Benson","RB",33,true
760,"Ryan","Fitzpatrick","QB",17,true
761,"Lee","Evans","WR",33,false
762,"Fred","Jackson","RB",3,true
763,"Roscoe","Parrish","WR",33,false
764,"Shawn","Nelson","TE",3,true
765,"Steve","Johnson","WR",8,true
766,"C.J.","Spiller","RB",28,true
767,"Buffalo","Bills ","DEF",3,true
768,"Rian","Lindell","K",33,true
769,"Buster","Davis","WR",33,false
770,"Denver","Broncos","DEF",4,true
771,"Matt","Prater","K",4,true
772,"Tim","Tebow","QB",13,true
773,"Demaryius","Thomas","WR",4,true
774,"Julius","Thomas","TE",16,true
775,"Eddie","Royal","WR",1,true
776,"Brandon","Lloyd","WR",33,true
777,"Knowshon","Moreno","RB",33,true
778,"Willis","McGahee","RB",33,true
779,"Kyle","Orton","QB",33,true
780,"Virgil","Green","TE",4,true
781,"Brandon","Jackson","RB",5,true
782,"Montario","Hardesty","RB",5,true
783,"Peyton","Hillis","RB",33,true
784,"Joshua","Cribbs","WR",33,true
785,"Greg","Little","WR",23,true
786,"Mohamed","Massaquoi","WR",33,true
787,"Colt","McCoy","QB",26,true
788,"Brian","Robiskie","WR",18,true
789,"Benjamin","Watson","TE",28,true
790,"Cleveland","Browns","DEF",5,true
791,"Phil","Dawson","K",19,true
792,"Early","Doucet","WR",33,false
793,"Larry","Fitzgerald","WR",7,true
794,"Todd","Heap","TE",7,true
795,"Rob","Housler","TE",5,true
796,"Andre","Roberts","WR",26,true
797,"John","Skelton","QB",2,true
798,"Ryan","Williams","RB",7,true
799,"Beanie","Wells","RB",33,true
800,"Arizona","Cardinals","DEF",7,true
801,"Jay","Feely","K",33,true
802,"Nate","Kaeding","K",6,true
803,"San Diego","Chargers","DEF",8,true
804,"Billy","Volek","QB",33,false
805,"Laurent","Robinson","WR",33,false
806,"Philip","Rivers","QB",8,true
807,"Mike","Tolbert","RB",21,true
808,"Ryan","Mathews","RB",13,true
809,"Vincent","Jackson","WR",6,true
810,"Antonio","Gates","TE",8,true
811,"Malcom","Floyd","WR",8,true
812,"Seyi","Ajirotutu","WR",13,true
813,"Patrick","Crayton","WR",33,false
814,"Vincent","Brown","WR",10,true
815,"Matt","Cassel","QB",3,true
816,"Chris","Chambers","WR",33,false
817,"Jamaal","Charles","RB",9,true
818,"Jon","Baldwin","WR",19,true
819,"Steve","Breaston","WR",33,false
