"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","TABLE_TYPE"
"AuctionDrafter_PROD","dbo","Draft","BASE TABLE"
"AuctionDrafter_PROD","dbo","Draftpick","BASE TABLE"
"AuctionDrafter_PROD","dbo","L_DraftType","BASE TABLE"
"AuctionDrafter_PROD","dbo","L_KeeperStatus","BASE TABLE"
"AuctionDrafter_PROD","dbo","L_OwnerTypes","BASE TABLE"
"AuctionDrafter_PROD","dbo","L_Roles","BASE TABLE"
"AuctionDrafter_PROD","dbo","L_TradeStatus","BASE TABLE"
"AuctionDrafter_PROD","dbo","League","BASE TABLE"
"AuctionDrafter_PROD","dbo","League_Owner","BASE TABLE"
"AuctionDrafter_PROD","dbo","Owner","BASE TABLE"
"AuctionDrafter_PROD","dbo","Player","BASE TABLE"
"AuctionDrafter_PROD","dbo","Roster","BASE TABLE"
"AuctionDrafter_PROD","dbo","Team","BASE TABLE"
"AuctionDrafter_PROD","dbo","Trade","BASE TABLE"
"AuctionDrafter_PROD","dbo","Trade_FromDraftpicks","BASE TABLE"
"AuctionDrafter_PROD","dbo","Trade_ToDraftpicks","BASE TABLE"
